# =====================================================
# DEPOT NOTES OPTIONS – FLAT LEAVES (WITH CODES)
# Sections limited to app's current dropdown set.
# Each line: CODE | Category | Description
# =====================================================

[needs]
NE01 | Need | Better water pressure
NE02 | Need | Faster hot water delivery
NE03 | Need | More usable space
NE04 | Need | Lower running costs
NE05 | Need | Easier controls
NE06 | Need | Quieter operation
NE07 | Need | Future-ready system

[restrictions_to_work]
WAH01 | Access | Ladder access required
WAH02A | Scaffolding | Tower - standard
WAH02B | Scaffolding | Tower - bridging
WAH02C | Scaffolding | Cantilever
WAH03 | Roof access | Permit required
WAH04A | Loft access | Boarded
WAH04B | Loft access | Unboarded
WAH05 | Access | MEWP required
WAH06 | Flat roof work | Specialist builder to make good
SR01 | Access | No loft access
SR02 | Clearance | Restricted clearance
SR03 | Parking | Limited / permit required
SR04 | Working hours | Restricted
SR05 | Pets | On site
SR06 | Occupant | Vulnerable person present
SR07 | Noise | Restrictions in place
SR08 | Drainage | Septic tank - not suitable for condensate
SR09 | Building | Listed - consent required
SR10 | Building | Listed - permission required
SR11 | Property | Flats - management permission required
CS01 | Cylinder | Removal required
CS02 | Cylinder | Replacement required
CS03 | CWS tank | Removal required
CS04 | Boiler | Double-handed lift required
CS05 | Boiler | Relocation required
CS06 | Gas pipe | Upgrade
CS07 | Gas pipe | Reroute
CS08 | Flue | Core drill required
CS09 | Flue | Wall thickness > 450 mm
CS10 | Electrical | New fused spur
CS11 | Electrical | New wiring centre
GR01 | Gas supply | Upgrade to 22 mm
GR02 | Gas supply | Tightness test pass required
GR03 | Gas supply | Meter location restricts route
GR04 | Gas supply | Internal reroute
GR05 | Gas supply | External reroute
GR06 | Meter type | U6 - inside
GR07 | Meter type | U6 - outside
GR08 | Route complexity | Simple / local
GR09 | Route complexity | Reuse existing
GR10 | Route complexity | Upsize sections for capacity
GR11 | Route complexity | Complex (clipping / drilling / routing)
GR12 | Gas notes | Replace meter tail lead
GR13 | Gas notes | Pressure drop risk over length
CD01 | Condensate | Internal waste - P-trap present
CD02 | Condensate | Internal waste - new trap required
CD03 | Condensate | External run - insulate (42 mm MI)
CD04 | Condensate | External run - replace with 42 mm (MI compliant)
CD05 | Condensate | Pump required
CD06 | Condensate | Soakaway - 42 mm pipe
CD07 | Condensate | Soakaway - gravel trap
CD08 | Condensate | Fall/gradient correction
CD09 | Condensate | Upgrade 32 mm -> 42 mm (MI compliant)
CD10 | Condensate | Discharge to external soil stack - termination check
CD11 | Condensate | Neutraliser fitted (where required)
DS01 | Discharge | PRV pipework to outside
DS02 | Discharge | Tundish visible and compliant
DS03 | Discharge | Under floor to outside
DS04 | Discharge | Direct to outside
DS05 | Discharge | Behind cupboards
DS06 | Discharge | Through cupboards
WS01 | Water | Increase mains pressure / flow
WS02 | Water | Pressure reducing valve required
WS03 | Water | Secondary return present
WS04 | Water | Scale filter required
WS05 | Water | Stop tap / service valve access
WS06 | Water | Route to under-counter
WS07 | Water | Route to airing cupboard
PF01 | Primaries | Powerflush required
PF02 | Primaries | Chemical clean & inhibit
PF03 | Primaries | Magnetic filter - Fernox TF1 (brass)
PF04 | Primaries | Magnetic filter - other
PF05 | Primaries | Pipework alterations required
PF06 | Primaries | Pipe size upgrade required
RD01 | Radiators | Replace radiator(s)
RD02 | Radiators | Install additional radiator(s)
RD03 | Radiators | Fit TRVs / lockshields
RD04 | Radiators | Balance system on completion
RD05 | Radiators | Replace towel rail
RD06 | Radiators | Cap redundant pipework
RD07 | Radiators | Old / mixed condition
RD08 | Constraint | Prevents flushing

[external_hazards]
EH01 | Asbestos | Suspected
EH02 | Roof | Fragile tiles / material
EH03 | Environment | Flood risk / standing water
EH04 | Insects | Wasps nesting
EH05 | Insects | Bees nesting
EH06 | Site | Poor lighting / no power
EH07 | Site | Pet mess present
EH08 | Animals | Dog(s) present
EH09 | Animals | Other potentially dangerous

